url,redirect_count,roi_discrepancy,iframe_ratio,domain_age_days,ssl_active,label
http://safe-site-11.com,0,0.04176152133522823,0.008240275385303164,6420,1,0
http://phish-site-395.tk,4,0.9819331187318106,0.4427374477620549,22,0,1
http://safe-site-316.com,0,0.06351553111788943,0.09479175579129054,5094,1,0
http://safe-site-396.com,0,0.021271268155200442,0.18189482127433068,6073,1,0
http://phish-site-200.tk,9,0.6034888865232944,0.8020671167207386,18,1,1
http://phish-site-251.tk,3,0.7934920861911251,0.8353313976982064,15,0,1
http://phish-site-69.tk,5,0.5744123468930291,0.6580479683613036,2,0,1
http://phish-site-261.tk,2,0.9121878793522836,0.41884114951710677,11,0,1
http://safe-site-483.com,0,0.0037924968841787535,0.18628812204391643,6625,1,0
http://safe-site-323.com,0,0.05969781792660302,0.1829614093840561,5981,1,0
http://phish-site-148.tk,9,0.6765708203449492,0.6672273469076451,3,0,1
http://safe-site-158.com,0,0.016599091351609786,0.018182328632712585,1869,1,0
http://safe-site-479.com,0,0.010543935475826794,0.0912982083996724,4592,1,0
http://safe-site-213.com,0,0.04061094695635756,0.1227367925488283,1735,1,0
http://safe-site-142.com,0,0.030602324123683924,0.09982143888741496,3972,1,0
http://safe-site-170.com,0,0.04810762405763842,0.04695020912450792,3028,1,0
http://safe-site-222.com,1,0.007285022197353675,0.08711343192684969,3686,1,0
http://phish-site-93.tk,6,0.9123743550873185,0.5659122429141548,16,1,1
http://safe-site-492.com,0,0.009653054886570912,0.018574266596386925,1921,1,0
http://phish-site-128.tk,7,0.6930623422071034,0.4300201688412787,2,0,1
http://safe-site-477.com,1,0.008710505062091135,0.057385106651722854,2873,1,0
http://phish-site-54.tk,5,0.7079765427589018,0.4244986685353667,18,0,1
http://phish-site-181.tk,6,0.5889659570251555,0.7603917888985295,11,0,1
http://safe-site-260.com,0,0.028948753481059387,0.09879439166690929,2160,1,0
http://safe-site-350.com,1,0.06774799125897947,0.0919458788788623,1739,1,0
http://safe-site-242.com,0,0.09820114081725598,0.1544909688213017,3492,1,0
http://safe-site-208.com,0,0.0802466682438894,0.1686044740445911,2219,1,0
http://phish-site-316.tk,3,0.6448265725673858,0.8836698278560388,19,0,1
http://safe-site-154.com,0,0.07096285611030402,0.16367591082220356,5212,1,0
http://phish-site-220.tk,3,0.8676049995709121,0.5109351500578015,9,1,1
http://safe-site-386.com,0,0.07477569215678175,0.04024103204583223,3386,1,0
http://safe-site-207.com,0,0.05058297511117288,0.07632673869393757,3015,1,0
http://safe-site-217.com,0,0.08144648171579359,0.11231735994055064,4990,1,0
http://phish-site-375.tk,8,0.9313485676930617,0.8797680639850086,7,0,1
http://phish-site-426.tk,3,0.6114295109392636,0.6312278231262153,22,0,1
http://phish-site-64.tk,8,0.6484205806953361,0.9792322862059202,5,0,1
http://phish-site-7.tk,3,0.7607459383194252,0.46429541537176733,1,0,1
http://phish-site-233.tk,6,0.5782789890430088,0.4502771483668776,27,0,1
